Feature,Pointwise Mutual Information
uw faculty fired,1.5104744194221706
faculty fired last,1.5104744194221706
fired last two,1.5104744194221706
last two decades,1.5104744194221706
two decades .,1.5104744194221706
decades . </s>,1.5104744194221706
actively,1.5104744194221706
passing,1.5104744194221706
russ,1.5104744194221706
feingold,1.5104744194221706
toughest,1.5104744194221706
ethics,1.5104744194221706
watergate,1.5104744194221706
<s> i'm person,1.5104744194221706
i'm person stage,1.5104744194221706
person stage worked,1.5104744194221706
stage worked actively,1.5104744194221706
worked actively last,1.5104744194221706
actively last year,1.5104744194221706
last year passing,1.5104744194221706
year passing along,1.5104744194221706
passing along russ,1.5104744194221706
along russ feingold,1.5104744194221706
russ feingold toughest,1.5104744194221706
feingold toughest ethics,1.5104744194221706
toughest ethics reform,1.5104744194221706
ethics reform since,1.5104744194221706
reform since watergate,1.5104744194221706
since watergate .,1.5104744194221706
watergate . </s>,1.5104744194221706
however,1.5104744194221706
lottery,1.5104744194221706
newport,1.5104744194221706
eventually,1.5104744194221706
noaa,1.5104744194221706
marine,1.5104744194221706
operations,1.5104744194221706
pacific,1.5104744194221706
<s> <s> however,1.5104744194221706
<s> however took,1.5104744194221706
however took 19,1.5104744194221706
took 19 .,1.5104744194221706
19 . 5,1.5104744194221706
5 million oregon,1.5104744194221706
million oregon lottery,1.5104744194221706
oregon lottery funds,1.5104744194221706
lottery funds port,1.5104744194221706
funds port newport,1.5104744194221706
port newport eventually,1.5104744194221706
newport eventually land,1.5104744194221706
eventually land new,1.5104744194221706
land new noaa,1.5104744194221706
new noaa marine,1.5104744194221706
noaa marine operations,1.5104744194221706
marine operations center,1.5104744194221706
operations center pacific,1.5104744194221706
center pacific .,1.5104744194221706
pacific . </s>,1.5104744194221706
gop,1.5104744194221706
opponents,1.5104744194221706
leibham,1.5104744194221706
cast,1.5104744194221706
compromise,1.5104744194221706
788,1.5104744194221706
electricity,1.5104744194221706
<s> says gop,1.5104744194221706
says gop primary,1.5104744194221706
gop primary opponents,1.5104744194221706
primary opponents glenn,1.5104744194221706
opponents glenn grothman,1.5104744194221706
glenn grothman joe,1.5104744194221706
grothman joe leibham,1.5104744194221706
joe leibham cast,1.5104744194221706
leibham cast compromise,1.5104744194221706
cast compromise vote,1.5104744194221706
compromise vote cost,1.5104744194221706
vote cost 788,1.5104744194221706
cost 788 million,1.5104744194221706
788 million higher,1.5104744194221706
million higher electricity,1.5104744194221706
higher electricity costs,1.5104744194221706
electricity costs .,1.5104744194221706
costs . </s>,1.5104744194221706
popular,1.5104744194221706
margin,1.5104744194221706
smaller,1.5104744194221706
first time history,1.5104744194221706
time history share,1.5104744194221706
history share national,1.5104744194221706
share national popular,1.5104744194221706
national popular vote,1.5104744194221706
popular vote margin,1.5104744194221706
vote margin smaller,1.5104744194221706
margin smaller latino,1.5104744194221706
smaller latino vote,1.5104744194221706
latino vote margin,1.5104744194221706
vote margin .,1.5104744194221706
margin . </s>,1.5104744194221706
slipped,1.5104744194221706
<s> since 2000,1.5104744194221706
since 2000 nearly,1.5104744194221706
2000 nearly 12,1.5104744194221706
nearly 12 million,1.5104744194221706
12 million americans,1.5104744194221706
million americans slipped,1.5104744194221706
americans slipped middle,1.5104744194221706
slipped middle class,1.5104744194221706
middle class poverty,1.5104744194221706
class poverty .,1.5104744194221706
poverty . </s>,1.5104744194221706
bled,1.5104744194221706
<s> economy bled,1.5104744194221706
economy bled 24,1.5104744194221706
bled 24 billion,1.5104744194221706
24 billion due,1.5104744194221706
billion due government,1.5104744194221706
due government shutdown,1.5104744194221706
election,1.5104744194221706
63,1.5104744194221706
chose,1.5104744194221706
not_vote,1.5104744194221706
not_80,1.5104744194221706
not_percent,1.5104744194221706
not_young,1.5104744194221706
not_75,1.5104744194221706
not_low,1.5104744194221706
not_income,1.5104744194221706
not_workers,1.5104744194221706
not_chose,1.5104744194221706
<s> last election,1.5104744194221706
last election november,1.5104744194221706
election november 63,1.5104744194221706
november 63 percent,1.5104744194221706
63 percent american,1.5104744194221706
american people chose,1.5104744194221706
people chose not,1.5104744194221706
chose not not_vote,1.5104744194221706
not not_vote not_80,1.5104744194221706
not_vote not_80 not_percent,1.5104744194221706
not_80 not_percent not_young,1.5104744194221706
not_percent not_young not_people,1.5104744194221706
not_young not_people not_75,1.5104744194221706
not_people not_75 not_percent,1.5104744194221706
not_75 not_percent not_low,1.5104744194221706
not_percent not_low not_income,1.5104744194221706
not_low not_income not_workers,1.5104744194221706
not_income not_workers not_chose,1.5104744194221706
not_workers not_chose not,1.5104744194221706
not_chose not vote,1.5104744194221706
not vote .,1.5104744194221706
vote . </s>,1.5104744194221706
motorcycles,1.5104744194221706
quote,1.5104744194221706
'disgraceful,1.5104744194221706
<s> mccain opposed,1.5104744194221706
mccain opposed requirement,1.5104744194221706
opposed requirement government,1.5104744194221706
requirement government buy,1.5104744194221706
government buy american,1.5104744194221706
buy american made,1.5104744194221706
american made motorcycles,1.5104744194221706
made motorcycles .,1.5104744194221706
motorcycles . said,1.5104744194221706
. said buy,1.5104744194221706
said buy american,1.5104744194221706
buy american provisions,1.5104744194221706
american provisions quote,1.5104744194221706
provisions quote 'disgraceful,1.5104744194221706
quote 'disgraceful .,1.5104744194221706
'disgraceful . ',1.5104744194221706
manila,1.5104744194221706
philippines,1.5104744194221706
845,1.5104744194221706
subsidiary,1.5104744194221706
owner,1.5104744194221706
<s> <s> water,1.5104744194221706
<s> water rates,1.5104744194221706
water rates manila,1.5104744194221706
rates manila philippines,1.5104744194221706
manila philippines raised,1.5104744194221706
philippines raised 845,1.5104744194221706
raised 845 percent,1.5104744194221706
845 percent subsidiary,1.5104744194221706
percent subsidiary world,1.5104744194221706
subsidiary world bank,1.5104744194221706
world bank became,1.5104744194221706
bank became partial,1.5104744194221706
became partial owner,1.5104744194221706
partial owner .,1.5104744194221706
owner . </s>,1.5104744194221706
puerto,1.5104744194221706
rico,1.5104744194221706
<s> <s> almost,1.5104744194221706
<s> almost 100,1.5104744194221706
almost 100 000,1.5104744194221706
100 000 people,1.5104744194221706
000 people left,1.5104744194221706
people left puerto,1.5104744194221706
left puerto rico,1.5104744194221706
puerto rico last,1.5104744194221706
rico last year,1.5104744194221706
united states highest,1.5104744194221706
states highest corporate,1.5104744194221706
highest corporate tax,1.5104744194221706
corporate tax rate,1.5104744194221706
tax rate free,1.5104744194221706
rate free world,1.5104744194221706
free world .,1.5104744194221706
auto,1.5104744194221706
<s> <s> best,1.5104744194221706
<s> best year,1.5104744194221706
best year auto,1.5104744194221706
year auto industry,1.5104744194221706
auto industry america,1.5104744194221706
industry america history,1.5104744194221706
america history .,1.5104744194221706
favors,1.5104744194221706
350,1.5104744194221706
scott walker favors,1.5104744194221706
walker favors cutting,1.5104744194221706
favors cutting 350,1.5104744194221706
cutting 350 000,1.5104744194221706
350 000 families,1.5104744194221706
000 families children,1.5104744194221706
families children health,1.5104744194221706
children health care,1.5104744194221706
mosques,1.5104744194221706
tripled,1.5104744194221706
paris,1.5104744194221706
san,1.5104744194221706
bernardino,1.5104744194221706
hate crimes american,1.5104744194221706
crimes american muslims,1.5104744194221706
american muslims mosques,1.5104744194221706
muslims mosques tripled,1.5104744194221706
mosques tripled paris,1.5104744194221706
tripled paris san,1.5104744194221706
paris san bernardino,1.5104744194221706
san bernardino .,1.5104744194221706
bernardino . </s>,1.5104744194221706
remains,1.5104744194221706
won,1.5104744194221706
governorship,1.5104744194221706
landslide,1.5104744194221706
elections,1.5104744194221706
<s> <s> rick,1.5104744194221706
<s> rick perry,1.5104744194221706
rick perry never,1.5104744194221706
perry never lost,1.5104744194221706
never lost election,1.5104744194221706
lost election remains,1.5104744194221706
election remains person,1.5104744194221706
remains person won,1.5104744194221706
person won texas,1.5104744194221706
won texas governorship,1.5104744194221706
texas governorship three,1.5104744194221706
governorship three times,1.5104744194221706
three times landslide,1.5104744194221706
times landslide elections,1.5104744194221706
landslide elections .,1.5104744194221706
youth,1.5104744194221706
minority,1.5104744194221706
communities,1.5104744194221706
<s> <s> youth,1.5104744194221706
<s> youth unemployment,1.5104744194221706
youth unemployment minority,1.5104744194221706
unemployment minority communities,1.5104744194221706
minority communities 40,1.5104744194221706
communities 40 45,1.5104744194221706
40 45 percent,1.5104744194221706
endorsing,1.5104744194221706
says paul ryan,1.5104744194221706
paul ryan still,1.5104744194221706
ryan still endorsing,1.5104744194221706
still endorsing trump,1.5104744194221706
endorsing trump .,1.5104744194221706
trump . </s>,1.5104744194221706
<s> <s> cut,1.5104744194221706
<s> cut business,1.5104744194221706
cut business taxes,1.5104744194221706
business taxes today,1.5104744194221706
taxes today 70,1.5104744194221706
today 70 percent,1.5104744194221706
70 percent businesses,1.5104744194221706
percent businesses dont,1.5104744194221706
businesses dont pay,1.5104744194221706
dont pay business,1.5104744194221706
pay business tax,1.5104744194221706
business tax .,1.5104744194221706
pryor,1.5104744194221706
93,1.5104744194221706
<s> says mark,1.5104744194221706
says mark pryor,1.5104744194221706
mark pryor votes,1.5104744194221706
pryor votes obama,1.5104744194221706
votes obama 93,1.5104744194221706
obama 93 percent,1.5104744194221706
93 percent time,1.5104744194221706
thinks,1.5104744194221706
authority,1.5104744194221706
regulate,1.5104744194221706
toilet,1.5104744194221706
seats,1.5104744194221706
<s> federal government,1.5104744194221706
federal government thinks,1.5104744194221706
government thinks authority,1.5104744194221706
thinks authority regulate,1.5104744194221706
authority regulate toilet,1.5104744194221706
regulate toilet seats,1.5104744194221706
toilet seats .,1.5104744194221706
seats . </s>,1.5104744194221706
basically,1.5104744194221706
<s> austin city,1.5104744194221706
austin city basically,1.5104744194221706
city basically doubled,1.5104744194221706
basically doubled size,1.5104744194221706
doubled size every,1.5104744194221706
size every 25,1.5104744194221706
every 25 years,1.5104744194221706
25 years since,1.5104744194221706
years since founded,1.5104744194221706
since founded .,1.5104744194221706
founded . </s>,1.5104744194221706
nuclear,1.5104744194221706
test,1.5104744194221706
conducted,1.5104744194221706
earth's,1.5104744194221706
054th,1.5104744194221706
n,1.5104744194221706
99,1.5104744194221706
tests,1.5104744194221706
<s> <s> nuclear,1.5104744194221706
<s> nuclear test,1.5104744194221706
nuclear test conducted,1.5104744194221706
test conducted nation,1.5104744194221706
conducted nation time,1.5104744194221706
nation time earth's,1.5104744194221706
time earth's 2,1.5104744194221706
earth's 2 054th,1.5104744194221706
2 054th nuclear,1.5104744194221706
054th nuclear test,1.5104744194221706
nuclear test .,1.5104744194221706
test . five,1.5104744194221706
. five permanent,1.5104744194221706
five permanent members,1.5104744194221706
permanent members u,1.5104744194221706
members u .,1.5104744194221706
u . n,1.5104744194221706
. n .,1.5104744194221706
n . security,1.5104744194221706
. security council,1.5104744194221706
security council conducted,1.5104744194221706
council conducted 99,1.5104744194221706
conducted 99 .,1.5104744194221706
99 . 99,1.5104744194221706
. 99 percent,1.5104744194221706
99 percent total,1.5104744194221706
percent total nuclear,1.5104744194221706
total nuclear tests,1.5104744194221706
nuclear tests .,1.5104744194221706
tests . </s>,1.5104744194221706
george w. bush,1.5104744194221706
<s> president george w. bush,1.5104744194221706
president george w. bush added,1.5104744194221706
george w. bush added 4,1.5104744194221706
added 4 .,1.5104744194221706
4 . 9,1.5104744194221706
. 9 trillion,1.5104744194221706
9 trillion debt,1.5104744194221706
trillion debt .,1.5104744194221706
debt . president,1.5104744194221706
. president obama,1.5104744194221706
president obama weve,1.5104744194221706
obama weve added,1.5104744194221706
weve added 6,1.5104744194221706
added 6 .,1.5104744194221706
6 . 5,1.5104744194221706
. 5 trillion,1.5104744194221706
5 trillion debt,1.5104744194221706
skipped,1.5104744194221706
arm,1.5104744194221706
kurds,1.5104744194221706
marco rubio skipped,1.5104744194221706
rubio skipped 18,1.5104744194221706
skipped 18 defense,1.5104744194221706
18 defense votes,1.5104744194221706
defense votes including,1.5104744194221706
votes including one,1.5104744194221706
including one arm,1.5104744194221706
one arm kurds,1.5104744194221706
arm kurds fight,1.5104744194221706
kurds fight isis,1.5104744194221706
fight isis .,1.5104744194221706
isis . </s>,1.5104744194221706
51,1.5104744194221706
<s> <s> african,1.5104744194221706
<s> african american,1.5104744194221706
african american youth,1.5104744194221706
american youth unemployment,1.5104744194221706
youth unemployment 51,1.5104744194221706
unemployment 51 percent,1.5104744194221706
51 percent .,1.5104744194221706
percent . hispanic,1.5104744194221706
. hispanic youth,1.5104744194221706
hispanic youth unemployment,1.5104744194221706
youth unemployment 36,1.5104744194221706
unemployment 36 percent,1.5104744194221706
36 percent .,1.5104744194221706
co,1.5104744194221706
jail,1.5104744194221706
burners,1.5104744194221706
<s> hillary clinton 2005,1.5104744194221706
hillary clinton 2005 co,1.5104744194221706
2005 co sponsored,1.5104744194221706
co sponsored legislation,1.5104744194221706
sponsored legislation would,1.5104744194221706
legislation would jail,1.5104744194221706
would jail flag,1.5104744194221706
jail flag burners,1.5104744194221706
flag burners .,1.5104744194221706
burners . </s>,1.5104744194221706
<s> <s> created,1.5104744194221706
<s> created 800,1.5104744194221706
created 800 000,1.5104744194221706
800 000 new,1.5104744194221706
new jobs cut,1.5104744194221706
jobs cut unemployment,1.5104744194221706
cut unemployment rate,1.5104744194221706
unemployment rate almost,1.5104744194221706
rate almost half,1.5104744194221706
almost half today,1.5104744194221706
half today new,1.5104744194221706
today new york,1.5104744194221706
new york state,1.5104744194221706
york state private,1.5104744194221706
state private sector,1.5104744194221706
private sector jobs,1.5104744194221706
sector jobs ever,1.5104744194221706
jobs ever history,1.5104744194221706
ever history </s>,1.5104744194221706
history </s> </s>,1.5104744194221706
earn,1.5104744194221706
82,1.5104744194221706
dollar,1.5104744194221706
<s> <s> georgia,1.5104744194221706
<s> georgia women,1.5104744194221706
georgia women earn,1.5104744194221706
women earn 82,1.5104744194221706
earn 82 cents,1.5104744194221706
82 cents every,1.5104744194221706
cents every dollar,1.5104744194221706
every dollar earned,1.5104744194221706
dollar earned men,1.5104744194221706
earned men .,1.5104744194221706
men . </s>,1.5104744194221706
verifies,1.5104744194221706
authorized,1.5104744194221706
inaccurate,1.5104744194221706
excess,1.5104744194221706
<s> federal system,1.5104744194221706
federal system verifies,1.5104744194221706
system verifies employees,1.5104744194221706
verifies employees authorized,1.5104744194221706
employees authorized work,1.5104744194221706
authorized work u,1.5104744194221706
work u .,1.5104744194221706
s . inaccurate,1.5104744194221706
. inaccurate anywhere,1.5104744194221706
inaccurate anywhere 50,1.5104744194221706
anywhere 50 percent,1.5104744194221706
50 percent way,1.5104744194221706
percent way excess,1.5104744194221706
way excess 80,1.5104744194221706
excess 80 percent,1.5104744194221706
80 percent time,1.5104744194221706
54,1.5104744194221706
latinos,1.5104744194221706
35,1.5104744194221706
<s> <s> 2008,1.5104744194221706
<s> 2008 54,1.5104744194221706
2008 54 percent,1.5104744194221706
54 percent latinos,1.5104744194221706
percent latinos texas,1.5104744194221706
latinos texas registered,1.5104744194221706
texas registered vote,1.5104744194221706
registered vote 35,1.5104744194221706
vote 35 percent,1.5104744194221706
35 percent actually,1.5104744194221706
percent actually turned,1.5104744194221706
actually turned out,1.5104744194221706
turned out .,1.5104744194221706
who's,1.5104744194221706
<s> said he's,1.5104744194221706
said he's republican,1.5104744194221706
he's republican candidate,1.5104744194221706
republican candidate who's,1.5104744194221706
candidate who's actually,1.5104744194221706
who's actually turned,1.5104744194221706
actually turned around,1.5104744194221706
turned around government,1.5104744194221706
around government economy,1.5104744194221706
government economy .,1.5104744194221706
recruiters,1.5104744194221706
harvard,1.5104744194221706
elena,1.5104744194221706
ruled,1.5104744194221706
unanimously,1.5104744194221706
wrong,1.5104744194221706
<s> military recruiters,1.5104744194221706
military recruiters harvard,1.5104744194221706
recruiters harvard elena,1.5104744194221706
harvard elena kagan,1.5104744194221706
elena kagan took,1.5104744194221706
kagan took position,1.5104744194221706
took position supreme,1.5104744194221706
position supreme court,1.5104744194221706
supreme court ruled,1.5104744194221706
court ruled unanimously,1.5104744194221706
ruled unanimously wrong,1.5104744194221706
unanimously wrong .,1.5104744194221706
wrong . </s>,1.5104744194221706
321,1.5104744194221706
092,1.5104744194221706
313,1.5104744194221706
850,1.5104744194221706
<s> <s> 321,1.5104744194221706
<s> 321 092,1.5104744194221706
321 092 public,1.5104744194221706
092 public school,1.5104744194221706
public school teachers,1.5104744194221706
school teachers texas,1.5104744194221706
teachers texas .,1.5104744194221706
texas . 313,1.5104744194221706
. 313 850,1.5104744194221706
313 850 non,1.5104744194221706
850 non teachers,1.5104744194221706
non teachers public,1.5104744194221706
teachers public schools,1.5104744194221706
public schools .,1.5104744194221706
schools . </s>,1.5104744194221706
early,1.5104744194221706
childhood,1.5104744194221706
learning,1.5104744194221706
bright,1.5104744194221706
horizons,1.5104744194221706
lady,1.5104744194221706
michelle obama,1.5104744194221706
rightly,1.5104744194221706
praised,1.5104744194221706
<s> <s> bain,1.5104744194221706
<s> bain capital,1.5104744194221706
bain capital helped,1.5104744194221706
capital helped start,1.5104744194221706
helped start early,1.5104744194221706
start early childhood,1.5104744194221706
early childhood learning,1.5104744194221706
childhood learning company,1.5104744194221706
learning company called,1.5104744194221706
company called bright,1.5104744194221706
called bright horizons,1.5104744194221706
bright horizons first,1.5104744194221706
horizons first lady,1.5104744194221706
first lady michelle obama,1.5104744194221706
lady michelle obama rightly,1.5104744194221706
michelle obama rightly praised,1.5104744194221706
rightly praised .,1.5104744194221706
praised . </s>,1.5104744194221706
virginia,1.5104744194221706
net,1.5104744194221706
bob,1.5104744194221706
mcdonnell,1.5104744194221706
<s> <s> take,1.5104744194221706
<s> take population,1.5104744194221706
take population growth,1.5104744194221706
population growth virginia,1.5104744194221706
growth virginia net,1.5104744194221706
virginia net zero,1.5104744194221706
net zero job,1.5104744194221706
zero job creation,1.5104744194221706
job creation since,1.5104744194221706
creation since bob,1.5104744194221706
since bob mcdonnell,1.5104744194221706
bob mcdonnell became,1.5104744194221706
mcdonnell became governor,1.5104744194221706
became governor .,1.5104744194221706
officer,1.5104744194221706
stop,1.5104744194221706
anyone,1.5104744194221706
appears,1.5104744194221706
reasonably,1.5104744194221706
suspicious,1.5104744194221706
<s> new arizona,1.5104744194221706
new arizona immigration,1.5104744194221706
arizona immigration law,1.5104744194221706
immigration law says,1.5104744194221706
law says police,1.5104744194221706
says police officer,1.5104744194221706
police officer stop,1.5104744194221706
officer stop anyone,1.5104744194221706
stop anyone appears,1.5104744194221706
anyone appears reasonably,1.5104744194221706
appears reasonably suspicious,1.5104744194221706
reasonably suspicious undocumented,1.5104744194221706
suspicious undocumented person,1.5104744194221706
undocumented person .,1.5104744194221706
person . </s>,1.5104744194221706
ii,1.5104744194221706
<s> <s> time,1.5104744194221706
<s> time history,1.5104744194221706
time history debt,1.5104744194221706
history debt higher,1.5104744194221706
debt higher end,1.5104744194221706
higher end world,1.5104744194221706
end world war,1.5104744194221706
world war ii,1.5104744194221706
factor,1.5104744194221706
<s> <s> cost,1.5104744194221706
<s> cost health,1.5104744194221706
cost health care,1.5104744194221706
health care single,1.5104744194221706
care single biggest,1.5104744194221706
single biggest factor,1.5104744194221706
biggest factor driving,1.5104744194221706
factor driving federal,1.5104744194221706
driving federal budget,1.5104744194221706
federal budget deficit,1.5104744194221706
budget deficit .,1.5104744194221706
deficit . </s>,1.5104744194221706
recession,1.5104744194221706
consumer,1.5104744194221706
native,1.5104744194221706
perversity,1.5104744194221706
begun,1.5104744194221706
<s> <s> recession,1.5104744194221706
<s> recession consumer,1.5104744194221706
recession consumer native,1.5104744194221706
consumer native perversity,1.5104744194221706
native perversity begun,1.5104744194221706
perversity begun save,1.5104744194221706
begun save .,1.5104744194221706
save . savings,1.5104744194221706
. savings rate,1.5104744194221706
savings rate 6,1.5104744194221706
rate 6 .,1.5104744194221706
6 . 2,1.5104744194221706
. 2 percent,1.5104744194221706
2 percent .,1.5104744194221706
unacceptable,1.5104744194221706
chinese,1.5104744194221706
larger,1.5104744194221706
wind,1.5104744194221706
panels,1.5104744194221706
photovoltaic,1.5104744194221706
manufacturing,1.5104744194221706
together,1.5104744194221706
forget,1.5104744194221706
<s> <s> think,1.5104744194221706
<s> think unacceptable,1.5104744194221706
think unacceptable chinese,1.5104744194221706
unacceptable chinese today,1.5104744194221706
chinese today larger,1.5104744194221706
today larger wind,1.5104744194221706
larger wind power,1.5104744194221706
wind power solar,1.5104744194221706
power solar panels,1.5104744194221706
solar panels photovoltaic,1.5104744194221706
panels photovoltaic manufacturing,1.5104744194221706
photovoltaic manufacturing europe,1.5104744194221706
manufacturing europe put,1.5104744194221706
europe put together,1.5104744194221706
put together forget,1.5104744194221706
together forget united,1.5104744194221706
forget united states,1.5104744194221706
says scott brown,1.5104744194221706
scott brown co,1.5104744194221706
brown co sponsored,1.5104744194221706
sponsored legislation let,1.5104744194221706
legislation let employers,1.5104744194221706
let employers deny,1.5104744194221706
employers deny women,1.5104744194221706
deny women coverage,1.5104744194221706
women coverage birth,1.5104744194221706
coverage birth control,1.5104744194221706
birth control .,1.5104744194221706
lives,1.5104744194221706
<s> <s> point,1.5104744194221706
<s> point lives,1.5104744194221706
point lives 99,1.5104744194221706
lives 99 women,1.5104744194221706
99 women use,1.5104744194221706
women use birth,1.5104744194221706
use birth control,1.5104744194221706
steve,1.5104744194221706
southerland,1.5104744194221706
rep . steve,1.5104744194221706
. steve southerland,1.5104744194221706
steve southerland voted,1.5104744194221706
southerland voted keep,1.5104744194221706
voted keep shutdown,1.5104744194221706
keep shutdown going,1.5104744194221706
shutdown going .,1.5104744194221706
going . </s>,1.5104744194221706
import,1.5104744194221706
nurses,1.5104744194221706
<s> rick perrys,1.5104744194221706
rick perrys texas,1.5104744194221706
perrys texas import,1.5104744194221706
texas import nurses,1.5104744194221706
import nurses countries,1.5104744194221706
nurses countries .,1.5104744194221706
countries . </s>,1.5104744194221706
transport,1.5104744194221706
dentures,1.5104744194221706
<s> federal criminal,1.5104744194221706
federal criminal law,1.5104744194221706
criminal law says,1.5104744194221706
law says crime,1.5104744194221706
says crime transport,1.5104744194221706
crime transport dentures,1.5104744194221706
transport dentures across,1.5104744194221706
dentures across state,1.5104744194221706
across state lines,1.5104744194221706
state lines .,1.5104744194221706
lines . </s>,1.5104744194221706
built,1.5104744194221706
1990,1.5104744194221706
incarceration,1.5104744194221706
explosion,1.5104744194221706
nonviolent,1.5104744194221706
<s> <s> built,1.5104744194221706
<s> built new,1.5104744194221706
built new prison,1.5104744194221706
new prison every,1.5104744194221706
prison every 10,1.5104744194221706
every 10 days,1.5104744194221706
10 days 1990,1.5104744194221706
days 1990 2005,1.5104744194221706
1990 2005 keep,1.5104744194221706
2005 keep mass,1.5104744194221706
keep mass incarceration,1.5104744194221706
mass incarceration explosion,1.5104744194221706
incarceration explosion nonviolent,1.5104744194221706
explosion nonviolent offenders,1.5104744194221706
nonviolent offenders .,1.5104744194221706
belong,1.5104744194221706
afl,1.5104744194221706
cio,1.5104744194221706
<s> <s> belong,1.5104744194221706
<s> belong afl,1.5104744194221706
belong afl cio,1.5104744194221706
afl cio .,1.5104744194221706
cio . </s>,1.5104744194221706
squat,1.5104744194221706
<s> <s> insurance,1.5104744194221706
<s> insurance commissioner,1.5104744194221706
insurance commissioner cant,1.5104744194221706
commissioner cant squat,1.5104744194221706
cant squat health,1.5104744194221706
squat health care,1.5104744194221706
poll,1.5104744194221706
beat,1.5104744194221706
<s> says poll,1.5104744194221706
says poll found,1.5104744194221706
poll found republican,1.5104744194221706
found republican candidate,1.5104744194221706
republican candidate could,1.5104744194221706
candidate could beat,1.5104744194221706
could beat barack obama,1.5104744194221706
beat barack obama texas,1.5104744194221706
barack obama texas eight,1.5104744194221706
texas eight points,1.5104744194221706
eight points .,1.5104744194221706
depression,1.5104744194221706
<s> know us,1.5104744194221706
know us population,1.5104744194221706
us population growth,1.5104744194221706
population growth lowest,1.5104744194221706
growth lowest since,1.5104744194221706
lowest since great,1.5104744194221706
since great depression,1.5104744194221706
great depression ?,1.5104744194221706
depression ? </s>,1.5104744194221706
pocket,1.5104744194221706
universities,1.5104744194221706
cellphones,1.5104744194221706
<s> average student,1.5104744194221706
average student florida,1.5104744194221706
student florida actually,1.5104744194221706
florida actually pay,1.5104744194221706
actually pay pocket,1.5104744194221706
pay pocket major,1.5104744194221706
pocket major universities,1.5104744194221706
major universities tuition,1.5104744194221706
universities tuition much,1.5104744194221706
tuition much less,1.5104744194221706
much less spend,1.5104744194221706
less spend cellphones,1.5104744194221706
spend cellphones .,1.5104744194221706
cellphones . </s>,1.5104744194221706
gunfire,1.5104744194221706
wars,1.5104744194221706
<s> since 1968,1.5104744194221706
since 1968 americans,1.5104744194221706
1968 americans died,1.5104744194221706
americans died gunfire,1.5104744194221706
died gunfire died,1.5104744194221706
gunfire died wars,1.5104744194221706
died wars countrys,1.5104744194221706
wars countrys history,1.5104744194221706
effect,1.5104744194221706
mean,1.5104744194221706
facing,1.5104744194221706
modified,1.5104744194221706
short,1.5104744194221706
sale,1.5104744194221706
lender,1.5104744194221706
<s> <s> foreclosure,1.5104744194221706
<s> foreclosure tax,1.5104744194221706
foreclosure tax would,1.5104744194221706
tax would take,1.5104744194221706
would take effect,1.5104744194221706
take effect 2013,1.5104744194221706
effect 2013 could,1.5104744194221706
2013 could mean,1.5104744194221706
could mean high,1.5104744194221706
mean high tax,1.5104744194221706
high tax bill,1.5104744194221706
tax bill facing,1.5104744194221706
bill facing foreclosure,1.5104744194221706
facing foreclosure millions,1.5104744194221706
foreclosure millions families,1.5104744194221706
millions families modified,1.5104744194221706
families modified mortgage,1.5104744194221706
modified mortgage short,1.5104744194221706
mortgage short sale,1.5104744194221706
short sale lender,1.5104744194221706
sale lender .,1.5104744194221706
lender . </s>,1.5104744194221706
wage,1.5104744194221706
hour,1.5104744194221706
lift,1.5104744194221706
<s> <s> raising,1.5104744194221706
<s> raising minimum,1.5104744194221706
